Saraksts,Partija,Vards,Gender,Apgabals,Numurs,Gads,DarbaVieta,Amats
5,"""SUVERĒNĀ VARA""",Ļubova Švecova,Female,Vidzeme,1,1970,Latvijas Republikas Saeima,Deputāte
5,"""SUVERĒNĀ VARA""",Inesa Testeļeca,Female,Vidzeme,14,1967,"SIA ""RUDAGA""","Valdes locekle, pedagogs"
5,"""SUVERĒNĀ VARA""",Pāvels Titovs,Male,Latgale,13,2001,Latvijas Futbola Federācija,Futbola tiesnesis
5,"""SUVERĒNĀ VARA""",Jeļena Tjurina,Female,Rīga,28,1977,Grāmatvede,
5,"""SUVERĒNĀ VARA""",Sintija Ukrina,Female,Vidzeme,11,1984,Sia „Kondicionieru Stacija“,Prokūrists
5,"""SUVERĒNĀ VARA""",Olga Veidiņa,Female,Rīga,6,1959,Pensionāre,
5,"""SUVERĒNĀ VARA""",Ainārs Vilciņš,Male,Vidzeme,2,1966,"Biedrība ""LATVIJAS SKIJORINGA FEDERĀCIJA""","Valdes loceklis, Prezidents"
5,"""SUVERĒNĀ VARA""",Vladimirs Vindačs,Male,Zemgale,9,1981,"SIA ""JUGER PLUS""",Sētnieks
5,"""SUVERĒNĀ VARA""",Aleksejs Vinogradskis,Male,Rīga,5,1987,SIA “ohwow!”,"Īpašnieks, valdes priekšsēdētājs"
5,"""SUVERĒNĀ VARA""",Vladimirs Vorohobovs,Male,Rīga,36,1959,Doktorants,
5,"""SUVERĒNĀ VARA""",Aleksandra Voskoboiņika,Female,Rīga,23,2001,Studente,
5,"""SUVERĒNĀ VARA""",Oskars Zelmens,Male,Zemgale,3,1970,Dārzkopība un apzaļumošana,
5,"""SUVERĒNĀ VARA""",Grigorijs Zubarevs,Male,Latgale,3,1951,"SIA Politiskas konsultācijas prakse ""Image-case""",Valdes loceklis
5,"""SUVERĒNĀ VARA""",Viktorija Žuka-Ņikuļina,Female,Rīga,15,1977,SIA “Victorea”,Valdes locekle
5,"""SUVERĒNĀ VARA""",Arvīds Žurzdins,Male,Latgale,6,1979,Valsts ieņēmumu dienests,Vecākais muitas uzraugs
6,"""Kristīgi Progresīvā Partija""",Māris Abiļevs,Male,Rīga,7,1956,pašnodarbināta persona,mākslinieks
6,"""Kristīgi Progresīvā Partija""",Imants Burvis,Male,Vidzeme,1,1949,Jūrmalas Pensionāru biedrība,priekšsēdētāja vietnieks
6,"""Kristīgi Progresīvā Partija""",Edīte Eglīte,Female,Zemgale,5,1967,Iksķiles vidusskola,pamatizglītības sklotāja
6,"""Kristīgi Progresīvā Partija""",Andris Feldmanis,Male,Latgale,2,1940,SIA “Trīs Puses”,valdes loceklis
6,"""Kristīgi Progresīvā Partija""",Zilgma Feščenko,Female,Rīga,11,1964,SIA Iklat Serviss aptieka,farmaceita asistente
6,"""Kristīgi Progresīvā Partija""",Ēriks Flaumanis,Male,Latgale,1,1954,SIA Art Tehno,Valdes loceklis
6,"""Kristīgi Progresīvā Partija""",Vladislavs Gorjačkins,Male,Rīga,10,1957,"SIA “J 1”,",ēku un territoriju uzraugs
6,"""Kristīgi Progresīvā Partija""",Agris Grūbe,Male,Vidzeme,2,1962,SIA GLASIS,valdes loceklis
6,"""Kristīgi Progresīvā Partija""",Žanna Ivanova,Female,Latgale,4,1980,SIA “SENIOR RIGA”,Kvalitātes Kontroles nodaļas vadītāja
6,"""Kristīgi Progresīvā Partija""",Vija Kārkliņa,Female,Rīga,4,1952,Pensionāre,
6,"""Kristīgi Progresīvā Partija""",Andrejs Krasņikovs,Male,Rīga,1,1956,Rīgas Tehniskā universitāte,"katedras vadītājs, profesors"
6,"""Kristīgi Progresīvā Partija""",Dace Kudiņa,Female,Rīga,12,1949,Pensionāre,
6,"""Kristīgi Progresīvā Partija""",Raitis Kviesis,Male,Zemgale,2,1983,SIA GUNCHINJA,Īpašumu vērtētājs
6,"""Kristīgi Progresīvā Partija""",Normunds Līcītis,Male,Rīga,8,1970,Bezdarbnieks,
6,"""Kristīgi Progresīvā Partija""",Ina Mažgane,Female,Rīga,5,1963,Rīgas sociālais dienests,sociālās palīdzības organizatore
6,"""Kristīgi Progresīvā Partija""",Romans Moisejevs,Male,Kurzeme,4,1979,UAB ‘’ELVIVA’’,elektrotehniķis
6,"""Kristīgi Progresīvā Partija""",Laima Ošeniece,Female,Kurzeme,3,1997,"Zemnieku saimniecība ""Ošenieki""",grāmatvede
6,"""Kristīgi Progresīvā Partija""",Aivars Ošenieks,Male,Kurzeme,1,1957,SIA Tukuma auto,autobusa vadītājs
6,"""Kristīgi Progresīvā Partija""",Andis Mārtiņš Ošenieks,Male,Kurzeme,5,1999,Kandavas lauksaimniecības tehnikums,skolotājs
6,"""Kristīgi Progresīvā Partija""",Gunita Ozola-Kviese,Female,Rīga,3,1977,SIA “MIA GUNCHINJA”,valdes locekle
6,"""Kristīgi Progresīvā Partija""",Udo Pērsis,Male,Vidzeme,3,1960,SIA „BRZA Agro”,valdes loceklis
6,"""Kristīgi Progresīvā Partija""",Sandis Plūmītis,Male,Rīga,9,1993,SIA TET,Klientu atbalsta inženieris
6,"""Kristīgi Progresīvā Partija""",Indulis Skudra,Male,Zemgale,3,1967,Jūrmalas pamatskola,direktors
6,"""Kristīgi Progresīvā Partija""",Dmitrijs Sokolovs,Male,Zemgale,4,1989,SIA Ogas.lv,vadītājs
6,"""Kristīgi Progresīvā Partija""",Tatjana Švāne,Female,Latgale,3,1964,Pašnodarbināta persona,dizainere
6,"""Kristīgi Progresīvā Partija""",Oskars Švāns,Male,Rīga,2,1955,Biedriba “Atbalsts Latvijas Tautsaimniecībai”,valdes loceklis
6,"""Kristīgi Progresīvā Partija""",Elita Višņevska,Female,Kurzeme,2,1964,AB Solutions Security SIA,apsardzes pults operators
6,"""Kristīgi Progresīvā Partija""",Jolanta Zeltiņa,Female,Zemgale,1,1967,Rigas audita aģentūra,valdes priekšsēdētāja
6,"""Kristīgi Progresīvā Partija""",Atis Zilbers,Male,Rīga,6,1970,SIA “PURE WATER”,valdes priekšsēdētājs
6,"""Kristīgi Progresīvā Partija""",Marija Žinkeviča,Female,Vidzeme,4,1987,Nodarbinātības valsts aģentūra,juriskonsults
6,"""Kristīgi Progresīvā Partija""",Ineta Žīgure,Female,Latgale,5,1970,VCA Jugla,vecmāte
7,"""Saskaņa"" sociāldemokrātiskā partija",Valērijs Agešins,Male,Kurzeme,1,1972,Latvijas Republikas Saeima,Deputāts
7,"""Saskaņa"" sociāldemokrātiskā partija",Arturs Arhipovs,Male,Rīga,29,2001,"AS ""Balticom""",Klientu konsultants
7,"""Saskaņa"" sociāldemokrātiskā partija",Andrejs Beļuns,Male,Vidzeme,15,1983,"SIA ""Clean R""",Autovadītājs
7,"""Saskaņa"" sociāldemokrātiskā partija",Andrejs Bondarevs,Male,Latgale,10,1977,Līvānu 1. vidusskola,Sporta un sociālo zinātņu pedagogs
7,"""Saskaņa"" sociāldemokrātiskā partija",Mairis Briedis,Male,Rīga,3,1985,Profesionālais sportists,Profesionālais sportists
7,"""Saskaņa"" sociāldemokrātiskā partija",Irina Caune,Female,Rīga,17,1961,Rīgas pirmsskolas izglītības iestāde “Mežrozīte”,Vadītāja
7,"""Saskaņa"" sociāldemokrātiskā partija",Boriss Cilevičs,Male,Rīga,5,1956,Latvijas Republikas Saeima,Saeimas deputāts
7,"""Saskaņa"" sociāldemokrātiskā partija",Sergejs Dikterjovs,Male,Kurzeme,7,1955,Liepājas pilsētas pašvaldības aģentūra “Liepājas sabiedriskais transports”,Pamatdarbības struktūrvienības vadītājs
7,"""Saskaņa"" sociāldemokrātiskā partija",Sergejs Dolgopolovs,Male,Vidzeme,2,1941,Latvijas Republikas Saeima,Saeimas deputāts
7,"""Saskaņa"" sociāldemokrātiskā partija",Irina Dolgova,Female,Zemgale,6,1981,Rīgas Stradiņa universitāte,Studiju programmu attīstības projektu vadītāja
7,"""Saskaņa"" sociāldemokrātiskā partija",Abiks Elkins,Male,Rīga,13,1971,SIA MASU MEDIJU GRUPA,žurnālists
7,"""Saskaņa"" sociāldemokrātiskā partija",Angelina Erdmane,Female,Rīga,23,1980,Saimnieciskās darbības veicējs,Individuālais komersants
7,"""Saskaņa"" sociāldemokrātiskā partija",Sergejs Galajevs,Male,Vidzeme,6,1989,"SIA ""SONDERS""",Projekta vadītājs
7,"""Saskaņa"" sociāldemokrātiskā partija",Sergejs Galaveckis,Male,Kurzeme,10,1978,SIA „VNK SERVISS”,Darba aizsardzības speciālists
7,"""Saskaņa"" sociāldemokrātiskā partija",Jaroslavs Gaveiko,Male,Zemgale,4,1990,Grind Fibers OU Latvijas filiāle,Iepirkumu speciālists
7,"""Saskaņa"" sociāldemokrātiskā partija",Helēna Geriloviča,Female,Kurzeme,2,1956,Liepājas valstspilsētas pašvaldība,Deputāte
7,"""Saskaņa"" sociāldemokrātiskā partija",Pāvels Goroškovs,Male,Kurzeme,5,1982,SIA “KGP Group”,Valdes loceklis
7,"""Saskaņa"" sociāldemokrātiskā partija",Gints Grīslis,Male,Latgale,14,1978,"Biedrība ""Futbola klubs Balvu vilki""",Valdes priekšsēdētājs
7,"""Saskaņa"" sociāldemokrātiskā partija",Anatolijs Gržibovskis,Male,Latgale,4,1968,Daugavpils 15. vidusskola,Direktors
7,"""Saskaņa"" sociāldemokrātiskā partija",Nadežda Hļebņikova,Female,Latgale,15,1973,Preiļu novada pašvaldība,Deputāte
7,"""Saskaņa"" sociāldemokrātiskā partija",Jeļena Hnikina,Female,Zemgale,10,1978,Latvijas Sabiedrisko pakalpojumu un Transporta darbinieku arodbiedrība LAKRS,Valdes locekle
7,"""Saskaņa"" sociāldemokrātiskā partija",Nataļja Hohlova,Female,Zemgale,8,1979,Privātā vidusskola “Klasika”,"Socialo zinību , ekonomikas un uzņēmējdarbības pamatu skolotājs"
7,"""Saskaņa"" sociāldemokrātiskā partija",Jekaterina Ivanova,Female,Latgale,7,1960,Rēzeknes novada pašvaldība,Deputāte
7,"""Saskaņa"" sociāldemokrātiskā partija",Kristīna Jablonska,Female,Kurzeme,6,1979,"Baltijas Starptautiskā akadēmija, Liepājas filiāle","Direktore, lektore"
7,"""Saskaņa"" sociāldemokrātiskā partija",Aleksandrs Jakimovs,Male,Latgale,9,1961,Latvijas Zvērinātu advokātu kolēģija,Zvērināts advokāts
7,"""Saskaņa"" sociāldemokrātiskā partija",Georgijs Jakovļevs,Male,Rīga,21,1976,"SIA ""Timberis""",pārdevējs - konsultants
7,"""Saskaņa"" sociāldemokrātiskā partija",Viktors Jakovļevs,Male,Vidzeme,7,1963,"SIA ""Getliņi EKO""",Projekta vadītājs
7,"""Saskaņa"" sociāldemokrātiskā partija",Indulis Jankovskis,Male,Kurzeme,8,1968,Jurista privātprakse,Jurists
7,"""Saskaņa"" sociāldemokrātiskā partija",Viktors Jasiņavičs,Male,Latgale,11,1957,Ilūkstes Raiņa vidusskola,Skolotājs
7,"""Saskaņa"" sociāldemokrātiskā partija",Deņiss Jeļizarovs,Male,Vidzeme,12,1981,Latvijas Jūras akadēmija,Zinātniskais asistents
7,"""Saskaņa"" sociāldemokrātiskā partija",Nikolajs Kabanovs,Male,Rīga,11,1970,Latvijas Republikas Saeima,Deputāts
7,"""Saskaņa"" sociāldemokrātiskā partija",Alena Kaikova,Female,Rīga,20,1985,"SIA ""1 37 digital agency""",Nekustamo īpašumu aģents
7,"""Saskaņa"" sociāldemokrātiskā partija",Modris Karpovs,Male,Latgale,12,1971,Ludzas novada dome.,Deputāts
7,"""Saskaņa"" sociāldemokrātiskā partija",Nataļja Kartiševa,Female,Zemgale,7,1979,"SIA ""Kamilli""","Valdes locekle, manikīra meistare"
7,"""Saskaņa"" sociāldemokrātiskā partija",Aleksandrs Kazačkovs,Male,Zemgale,1,1974,"SIA ""Kazačkovs un partneri""",Direktors
7,"""Saskaņa"" sociāldemokrātiskā partija",Kristīne Kleinšmite,Female,Kurzeme,13,1976,"Sporta klubs ""Planēta Fitness""",Trenere
7,"""Saskaņa"" sociāldemokrātiskā partija",Andrejs Klementjevs,Male,Rīga,2,1973,Latvijas Republikas Saeima,Deputāts
7,"""Saskaņa"" sociāldemokrātiskā partija",Ivans Klementjevs,Male,Rīga,7,1960,Latvija Republikas Saeima,Deputāts
7,"""Saskaņa"" sociāldemokrātiskā partija",Andrejs Kozlovs,Male,Rīga,10,1969,SIA “Eurostore”,Komercdirektors
7,"""Saskaņa"" sociāldemokrātiskā partija",Jānis Krišāns,Male,Latgale,2,1960,Latvijas Republikas Saeima,Deputāts
7,"""Saskaņa"" sociāldemokrātiskā partija",Elizabete Krivcova,Female,Vidzeme,3,1978,"SIA ""Krivcova law office""",Valdes locekle
7,"""Saskaņa"" sociāldemokrātiskā partija",Edgars Kucins,Male,Latgale,5,1973,Latvijas Republikas 13. Saeima,Saeimas deputāts
7,"""Saskaņa"" sociāldemokrātiskā partija",Andrejs Kurganskis,Male,Rīga,28,1991,SIA “Adelanteks”,Loģistikas speciālists
7,"""Saskaņa"" sociāldemokrātiskā partija",Irina Kuzmina-Rimša,Female,Rīga,27,1986,Latvijas Universitāte,Pasniedzēja
7,"""Saskaņa"" sociāldemokrātiskā partija",Andris Ķerpe,Male,Rīga,15,1983,Pašnodarbinātais,Braukšanas instruktors
7,"""Saskaņa"" sociāldemokrātiskā partija",Regīna Ločmele,Female,Latgale,1,1966,Latvijas Republikas Saeima,Deputāte
7,"""Saskaņa"" sociāldemokrātiskā partija",Sergejs Masļakovs,Male,Vidzeme,13,1963,"SIA ""ALPEX""",Ēku tehniskais pārzinis
7,"""Saskaņa"" sociāldemokrātiskā partija",Jeļena Mirnaja,Female,Rīga,22,1974,Airline Support Baltic SIA,Finanšu speciāliste
7,"""Saskaņa"" sociāldemokrātiskā partija",Jekaterina Morozova,Female,Rīga,12,1985,Latvijas Republikas Saeima,Saeimas deputāta palīdze
7,"""Saskaņa"" sociāldemokrātiskā partija",Valerijs Morozovs,Male,Vidzeme,5,1947,Policijas veterānu biedrība,Valdes loceklis
7,"""Saskaņa"" sociāldemokrātiskā partija",Oļegs Novodvorskis,Male,Vidzeme,4,1971,Olaines novada dome,Deputāts
7,"""Saskaņa"" sociāldemokrātiskā partija",Igors Orlovs,Male,Zemgale,5,1978,"SIA ""Airons""",Pārdevējs
7,"""Saskaņa"" sociāldemokrātiskā partija",Vitālijs Orlovs,Male,Zemgale,2,1964,Latvijas Republikas Saeima,Saeimas deputāts
7,"""Saskaņa"" sociāldemokrātiskā partija",Sergejs Pašukovs,Male,Zemgale,9,1961,Pensionārs,
7,"""Saskaņa"" sociāldemokrātiskā partija",Oļegs Peretjagins,Male,Rīga,24,1995,SIA “Ikaross”,Veterinārārsts
7,"""Saskaņa"" sociāldemokrātiskā partija",Igors Pimenovs,Male,Rīga,8,1953,Latvijas Republikas Saeima,Deputāts
7,"""Saskaņa"" sociāldemokrātiskā partija",Inese Plesņa,Female,Latgale,13,1977,Krāslavas novada pašvaldības Dagdas pilsētas un pagastu apvienība,Dagdas Kultūras centra vadītāja
7,"""Saskaņa"" sociāldemokrātiskā partija",Ivans Ribakovs,Male,Latgale,3,1960,Latvijas Republikas Saeima,Saeimas deputāts
7,"""Saskaņa"" sociāldemokrātiskā partija",Jūlija Romanoviča,Female,Vidzeme,8,1978,"SIA ""Bellatexim""","Viesnīcas vadītāja, pārvaldniece"
7,"""Saskaņa"" sociāldemokrātiskā partija",Artūrs Rubiks,Male,Rīga,6,1970,Latvijas Republikas Saeima,Deputāts
7,"""Saskaņa"" sociāldemokrātiskā partija",Raimonds Rubiks,Male,Latgale,6,1963,Rīgas valstspilsētas pašvaldība,Rīgas domes deputāts
7,"""Saskaņa"" sociāldemokrātiskā partija",Aleksandra Semendjajeva,Female,Rīga,14,1997,Valsts Ieņēmumu Dienests,IP Maksājumu administrēšanas informācijas sistēmu nodaļas sistēmanalītiķe. EU Collaboration in Taxation projekta MANITC V grant agreement koordinatore
7,"""Saskaņa"" sociāldemokrātiskā partija",Pāvels Sereda,Male,Kurzeme,3,1988,Liepājas Jūrniecības koledža,Instruktors - vērtētājs
7,"""Saskaņa"" sociāldemokrātiskā partija",Gaļina Skorobogatova,Female,Kurzeme,4,1966,Liepājas 3. pamatskola,"Direktore, ekonomikas pasniedzēja"
7,"""Saskaņa"" sociāldemokrātiskā partija",Igors Solomatins,Male,Rīga,9,1958,Rīgas Dome,Deputāts
7,"""Saskaņa"" sociāldemokrātiskā partija",Artūrs Stepčenko,Male,Kurzeme,12,1988,Ventspils Augstskola,Pētnieks / viesdocents.
7,"""Saskaņa"" sociāldemokrātiskā partija",Gatis Strazdiņš,Male,Vidzeme,9,1976,Saimnieciskās darbības veicējs,Saimnieciskās darbības veicējs
7,"""Saskaņa"" sociāldemokrātiskā partija",Ēriks Ševčenko,Male,Vidzeme,14,1991,JKH GKS Jastrzebie,Profesionālais sportists
7,"""Saskaņa"" sociāldemokrātiskā partija",Viktorija Tarane,Female,Vidzeme,10,1986,Bezdarbniece,
7,"""Saskaņa"" sociāldemokrātiskā partija",Olga Tetere,Female,Rīga,26,1970,Rīgas valstspilsētas pašvaldība,Rīgas pilsētas Apkaimju iedzīvotāju centra Klientu atbalsta un metodikas pārvaldes Klientu apkalpošanas nodaļas galvenā referente
7,"""Saskaņa"" sociāldemokrātiskā partija",Gražina Tētiņa,Female,Kurzeme,14,1963,"IK ""Grate""",Īpašniece
7,"""Saskaņa"" sociāldemokrātiskā partija",Gaļina Tjune,Female,Rīga,25,1962,Ropažu novada Ulbrokas PII “Pienenīte”,pirmsskolas skolotāja
7,"""Saskaņa"" sociāldemokrātiskā partija",Vladimirs Tkačenko,Male,Rīga,19,1954,Latvijas Republikas Saeima,Deputāta palīgs
7,"""Saskaņa"" sociāldemokrātiskā partija",Jeļena Toca,Female,Vidzeme,16,1959,Ropažu novada pašvaldība,Izpilddirektora vietniece
7,"""Saskaņa"" sociāldemokrātiskā partija",Maksims Tolstojs,Male,Rīga,16,1973,"""Saskaņa"" sociāldemokrātiskā partija",Biroju administrators
7,"""Saskaņa"" sociāldemokrātiskā partija",Zenta Tretjaka,Female,Zemgale,3,1960,Latvijas Republikas Saeima,Saeimas deputāte
7,"""Saskaņa"" sociāldemokrātiskā partija",Vitalijs Trusevičs,Male,Kurzeme,9,1970,Ventspils pilsētas dome,Administratīvās komisijas loceklis
7,"""Saskaņa"" sociāldemokrātiskā partija",Jānis Tutins,Male,Latgale,8,1966,Latvijas Republikas Saeima,Saeimas deputāts
7,"""Saskaņa"" sociāldemokrātiskā partija",Jānis Urbanovičs,Male,Rīga,1,1959,Latvijas Republikas Saeima,Deputāts
7,"""Saskaņa"" sociāldemokrātiskā partija",Jānis Urbanovičs,Male,Latgale,16,1997,Eiropas Parlaments,Stažieris
7,"""Saskaņa"" sociāldemokrātiskā partija",Gundars Ūdris,Male,Rīga,30,1971,"Biedrība ""Juridiskās prakses attīstības biedrība""",Valdes loceklis
7,"""Saskaņa"" sociāldemokrātiskā partija",Anna Vaisjūna,Female,Kurzeme,15,1988,Liepājas pilsētas pašvaldības administrācija,Nevalstisko organizāciju projektu līdzfinansēšanas konkursa komisijas locekle
7,"""Saskaņa"" sociāldemokrātiskā partija",Aleksandrs Vasiļjevs,Male,Vidzeme,11,1957,Latvijas Republikas Saeima,Saeimas deputāta palīgs
7,"""Saskaņa"" sociāldemokrātiskā partija",Anna Vladova,Female,Rīga,4,1968,Rīgas 80. Vidusskola,Direktore
7,"""Saskaņa"" sociāldemokrātiskā partija",Sergejs Volkovs,Male,Rīga,18,1982,SIA SV CENTR,"Valdes loceklis, zobārsts"
7,"""Saskaņa"" sociāldemokrātiskā partija",Ivars Zariņš,Male,Vidzeme,1,1969,"""Saskaņa"" sociāldemokrātiskā partija",Konsultants
7,"""Saskaņa"" sociāldemokrātiskā partija",Jekaterina Žeigure,Female,Kurzeme,11,1984,SIA Aromāts,Valdes locekle
8,"Politiskā partija ""Stabilitātei!""",Aļona Andrejeva,Female,Rīga,24,1972,"SIA ""T-1000"" IT produktu tehniskais atbalsts",Kvalitātes vadības sistēmu speciālists
8,"Politiskā partija ""Stabilitātei!""",Ina Barkanova,Female,Rīga,6,1975,Itas Kazanēvičas Poļu vidusskola,"Sākumskolas skolotāja, skolotāja - logopēde"
8,"Politiskā partija ""Stabilitātei!""",Dana Bebre,Female,Zemgale,6,1996,A/S Baltic,Tehniskas daļas operātoru vadītāja
8,"Politiskā partija ""Stabilitātei!""",Jeļena Bedrataja,Female,Rīga,29,1961,SIA Ķeizarsils,Tehnologs
8,"Politiskā partija ""Stabilitātei!""",Martins Blūmentāls,Male,Vidzeme,10,1997,Students,
8,"Politiskā partija ""Stabilitātei!""",Oskars Blūms,Male,Zemgale,8,1979,SIA BKS,Valdes loceklis
8,"Politiskā partija ""Stabilitātei!""",Irina Buša,Female,Rīga,26,1983,Rīgas Stila un modes tehnikums,pedagogs
8,"Politiskā partija ""Stabilitātei!""",Ivars Caunītis-Braslis,Male,Latgale,4,1981,SIA Līvānu siltums,Siltumiekārtu apkalpošanas atslēdznieks
8,"Politiskā partija ""Stabilitātei!""",Vjačeslavs Ciganovs,Male,Kurzeme,2,1960,Pensionārs,
8,"Politiskā partija ""Stabilitātei!""",Svetlana Čulkova,Female,Rīga,4,1989,LAPA LTD SIA,PAD gr.inspektore
8,"Politiskā partija ""Stabilitātei!""",Jekaterina Dorošķeviča,Female,Latgale,6,1997,Daugavpils Ruģeļu PII,Skolotājs
8,"Politiskā partija ""Stabilitātei!""",Naomi Farbere,Female,Zemgale,1,1995,SIA PROJECTON,Klientu apkalpošanas vaditāja
8,"Politiskā partija ""Stabilitātei!""",Jānis Gaisiņš,Male,Kurzeme,3,1970,Latvijas Evaņģēliski Luteriskā Baznīca,Mācītājs
8,"Politiskā partija ""Stabilitātei!""",Glorija Grevcova,Female,Vidzeme,2,1988,SIA DOLO,Padomnieks
8,"Politiskā partija ""Stabilitātei!""",Edgars Grīnbergs,Male,Vidzeme,11,1986,IK EG Baltic,Īpašnieks
8,"Politiskā partija ""Stabilitātei!""",Katerina Guzejeva,Female,Kurzeme,5,1988,"Appen, Machine Intelligence company",IT konsultants
8,"Politiskā partija ""Stabilitātei!""",Iļja Ivanovs,Female,Latgale,7,1999,SIA MUZ PRO,Konsultants
8,"Politiskā partija ""Stabilitātei!""",Sergejs Jakimuškins,Male,Rīga,21,1985,"SIA ""CTCo""",Senior Test Engineer
8,"Politiskā partija ""Stabilitātei!""",Svetlana Jakovicka,Female,Kurzeme,4,1982,"Ventspils , 2.vidusskola",Angļu valoda skolotāja
8,"Politiskā partija ""Stabilitātei!""",Arnolds Jancens,Male,Latgale,10,1982,SIA THOR,Komercdirektors
8,"Politiskā partija ""Stabilitātei!""",Alisa Jevstifejeva,Female,Rīga,20,1990,"SIA ""Battika""",Riska menedžere
8,"Politiskā partija ""Stabilitātei!""",Igors Judins,Male,Rīga,5,1978,A/s G4S Latvija,Objekta vadītājs
8,"Politiskā partija ""Stabilitātei!""",Jefimijs Klementjevs,Male,Rīga,7,1963,SIA Brāļi Klementjevi,Valdes loceklis
8,"Politiskā partija ""Stabilitātei!""",Jeļena Kļaviņa,Female,Latgale,5,1979,SIA ALEKSA,Valdes locekle
8,"Politiskā partija ""Stabilitātei!""",Nellija Kmita,Female,Vidzeme,3,1975,Azerbaidžanu jaunatnes centrs,Projektu vadītāja
8,"Politiskā partija ""Stabilitātei!""",Aigars Koloda,Male,Latgale,9,2001,Pašnodarbinātais,Sporta aģents
8,"Politiskā partija ""Stabilitātei!""",Romans Kolosovskis,Male,Rīga,23,1988,SIA PATRIKA,Kurjers
8,"Politiskā partija ""Stabilitātei!""",Dmitrijs Kovaļenko,Male,Zemgale,2,1978,Rīgas Grebenščikovas vecticībnieku draudze,Padomes loceklis
8,"Politiskā partija ""Stabilitātei!""",Jekaterina Kovaļenko,Female,Zemgale,4,1985,Pašnodarbināta,Vizažists
8,"Politiskā partija ""Stabilitātei!""",Inga Māra Kraukle,Female,Zemgale,5,1961,Rīgas 2.pamatskola,Skolotāja
8,"Politiskā partija ""Stabilitātei!""",Pāvels Kuzmins,Male,Rīga,16,1989,Accenture Latvija,vecākais finanšu kons.
8,"Politiskā partija ""Stabilitātei!""",Nataļja Marčenko-Jodko,Female,Rīga,2,1978,"Politiskā partija ""Stabilitātei!""",Valdes locekle
8,"Politiskā partija ""Stabilitātei!""",Dainis Močs,Male,Latgale,3,1970,SIA P.A.D serviss,Direktors
8,"Politiskā partija ""Stabilitātei!""",Žanna Mozgalova,Female,Rīga,30,1971,SIA LEVERSA,Noliktavas vadītāja
8,"Politiskā partija ""Stabilitātei!""",Nataļja Nikuļina,Female,Rīga,14,1988,Pašnodarbināta,Uztura speciāliste
8,"Politiskā partija ""Stabilitātei!""",Kristīna Ņestereca,Female,Rīga,28,1994,SIA EVALUTION LATVIA,Spēļu vadītāja
8,"Politiskā partija ""Stabilitātei!""",Jevgeņijs Orlovskis,Male,Vidzeme,4,1982,SIA KOMFOVENT,Ražošanas struktūrvienības vadītājs
8,"Politiskā partija ""Stabilitātei!""",Kristaps Ozoliņš,Male,Vidzeme,6,1996,Pašnodarbinātais,Specializētie projektēšanas darbi
8,"Politiskā partija ""Stabilitātei!""",Karina Panfilova,Female,Rīga,22,1972,SIA Audit Time,Valdes locekle
8,"Politiskā partija ""Stabilitātei!""",Sanita Petere,Female,Kurzeme,1,1983,SIA SOFIJA-S,Projektu vadītāja
8,"Politiskā partija ""Stabilitātei!""",Viktorija Pleškāne,Female,Latgale,1,1975,Energy Resources CHP RSEZ SIA,Vecākais darba aizsardzības speciālist
8,"Politiskā partija ""Stabilitātei!""",Ivans Protopopovs,Male,Rīga,25,1976,SIA Maxima Latvija,Vecākais inventarizācijas administrators
8,"Politiskā partija ""Stabilitātei!""",Viktors Pučka,Male,Latgale,2,1974,SIA CSDA,Direktors
8,"Politiskā partija ""Stabilitātei!""",Aleksejs Rosļikovs,Male,Rīga,1,1984,"Politiskā partija ""Stabilitātei!""",Valdes priekšsēdētājs
8,"Politiskā partija ""Stabilitātei!""",Jurijs Salcevičs,Male,Vidzeme,9,1961,TC LIEDAGS,Drošības speciālists
8,"Politiskā partija ""Stabilitātei!""",Amils Saļimovs,Male,Vidzeme,1,1985,SIA EURO TRADE,Valdes loceklis
8,"Politiskā partija ""Stabilitātei!""",Baiba Siliņa,Female,Vidzeme,5,1975,"SIA ""APL Skypark""",Vecākais pavārs
8,"Politiskā partija ""Stabilitātei!""",Vilis Sruoģis,Male,Rīga,3,1962,Latvijas Zvērinātu advokātu kolēģija. SIA Rusanovs &Partneri zvērinatu advokātu birojs,Zvērināts advokāts
8,"Politiskā partija ""Stabilitātei!""",Igors Suhanoks,Male,Rīga,27,1974,SIA KARVIS,Specialists par ārvalstu autopārvadājumiem
8,"Politiskā partija ""Stabilitātei!""",Ina Svilāne,Female,Rīga,18,1974,Latvijas universitāte,"Akadēmiskais departaments, Zinātnes projektu nodaļa ,vecākais eksperts"
8,"Politiskā partija ""Stabilitātei!""",Maksims Ševcovs,Male,Rīga,15,1998,A/S LIDO,pavārs
8,"Politiskā partija ""Stabilitātei!""",Boriss Šindelmanis,Male,Zemgale,7,1952,SIA Šindelmanis,Valdes priekšsēdētajs
8,"Politiskā partija ""Stabilitātei!""",Santa Škarste,Female,Rīga,17,1998,VID,VID NNVP galvenā nodokļu inspektore
8,"Politiskā partija ""Stabilitātei!""",Igors Tereško,Male,Rīga,13,1987,Biedrība Rīgas Neatkarīgais teātris,direktors
8,"Politiskā partija ""Stabilitātei!""",Nadežda Tretjakova,Female,Latgale,8,1976,Maltas vīdusskola,Bērnu aukle
8,"Politiskā partija ""Stabilitātei!""",Aleksandra Triguba,Female,Rīga,12,1998,SIA LAPA Ltd.,PAD gr.Inspektore
